qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Drdo Institutions That Shaped Modern India,ദൃഡ ഇന്സ്ടിട്യൂഷൻസ് ദാറ്റ് ഷെപേഡ് മോഡേൺ ഇന്ത്യ,English-language business & management published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ബിസിനസും മാനേജ്മെന്റും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/drdo-institutions-that-shaped-modern-india""","""Ravi Kumar Gupta""","""9789390356720""",,Q1860,Q668,+2021-02-23T00:00:00Z/11,215,Q4830453,"""1"""
,Dune,ഡൂൺ,English-language novel published by Hachette Book Group,ഹാഷെറ്റ് ബുക്ക് ഗ്രൂപ്പ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/dune--50436466821""","""Frank Herbert""","""9780340960196""",,Q1860,Q668,+1965-03-24T00:00:00Z/11,577,,"""1"""
,Ethnic Kerala Dishes,എത്നിക് കേരളം ഡിഷസ്,English-language cookery published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് പാചക പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/ethnic-kerala-dishes""","""Suma Sivadas""","""9788126464289""",,Q1860,Q668,+2015-07-31T00:00:00Z/11,182,Q605076,"""1"""
,Eyes of the Cat,എയെസ് ഓഫ് ദി കാട്,English-language children's literature published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/eyes-of-the-cat""","""Ruskin Bond""","""9788129148049""",,Q1860,Q668,+2017-07-13T00:00:00Z/11,124,Q131539,"""1"""
,Fables From the Animal Kingdom,ഫാബ്‌ലെസ് ഫ്രം ദി ആനിമൽ കിങ്ഡം,English-language short stories published by Mango,മാംഗോ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/fables-from-the-animal-kingdom""",,"""9789352829019""",,Q1860,Q668,+2023-07-27T00:00:00Z/11,288,,"""2"""
,False Allies : India's Maharajas in the Age of Ravi Varma,ഫാൾസ് ആലിസ് : ഇന്ത്യ'സ് മഹാരാജാസ് ഇൻ ദി അജ് ഓഫ്‌ രവി വർമ്മ,English-language history published by Juggernaut,ജഗർനോട്ട് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/false-allies-indias-maharajas-in-the-age-of-ravi-varma""","""Manu S. Pillai""","""9789391165895""",,Q1860,Q668,+2021-09-24T00:00:00Z/11,530,Q309,"""1"""
,Five Point Someone,ഫൈവ് പോയിന്റ് സോമേനോനെ,English-language indian fiction published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ഇന്ത്യൻ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/five-point-someone""","""Chetan Bhagat""","""9788129135490""",,Q1860,Q668,+2019-06-19T00:00:00Z/11,267,,"""1"""
,Flavours Across the World*,ഫ്ലാവോഴ്സ് അക്രോസ്സ് ദി വേൾഡ്*,English-language cookery published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് പാചക പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/flavours-across-the-world""","""Lisa Joji""",,,Q1860,Q668,+2020-11-03T00:00:00Z/11,64,,"""1"""
,Francis Itty Cora (english),ഫ്രാൻസിസ് ഇട്ടി കോര (ഇംഗ്ലീഷ്),English-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/francis-itty-cora-english""","""T. D. Ramakrishnan""","""9789353902568""",,Q1860,Q668,+2020-01-06T00:00:00Z/11,350,Q8261,"""1"""
,Fraternity Eternal,ഫ്രറ്റേർണിറ്റി ഏറെർനാൽ,English-language memoirs published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/fraternity-eternal""","""Retnaraj Sushil Raj""","""9789354821806""",,Q1860,Q668,+2021-11-19T00:00:00Z/11,344,,"""1"""
,Gandhi Before India,ഗാന്ധി ബിഫോർ ഇന്ത്യ,English-language non fiction published by Allen Lane,അലൻ ലെയ്ൻ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോൺ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/gandhi-before-india""","""Ramachandra Guha""","""9780670083879""",,Q1860,Q668,+2013-09-05T00:00:00Z/11,688,,"""1"""
,Get Out of Your Own Way,ഗെറ്റ് ഔട്ട് ഓഫ് യുവർ ടൗണ് വായ്,English-language self help published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/get-out-of-your-own-way""","""Mark Goulston Philip Goldberg""","""9789390260164""",,Q1860,Q668,+2021-07-02T00:00:00Z/11,164,Q3739522,"""1"""
,Gods Without Men,ഗോഡ്സ് വിതൗട് മെൻ,English-language novel published by Hamish Hamilton,ഹാമിഷ് ഹാമിൽട്ടൺ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/gods-without-men""","""Hari Kunzru""","""9780241145319""",,Q1860,Q668,+2012-03-01T00:00:00Z/11,400,Q8261,"""1"""
,Golden English for Class - 10,ഗോൾഡൻ ഇംഗ്ലീഷ് ഫോർ ക്ലാസ് - 10,English-language academics published by New Age,ന്യൂ ഏജ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് അക്കാദമിക് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/golden-english-for-class---10-""","""Dahiya""","""9788122449570""",,Q1860,Q668,+2020-05-11T00:00:00Z/11,330,Q193495,"""1"""
,Golden Mathematics for Class- X,ഗോൾഡൻ മാത്തമാറ്റിക്സ് ഫോർ ക്ലാസ്- സ്,English-language academics published by New Age,ന്യൂ ഏജ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് അക്കാദമിക് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/golden-mathematics-for-class--x""","""Hari Kishan""","""9788122437645""",,Q1860,Q668,+2020-01-06T00:00:00Z/11,345,Q193495,"""1"""
,Gopal's Gully,ഗോപാൽ'സ് കുളി,English-language literary fiction published by Penguin,പെൻഗ്വിൻ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സാഹിത്യ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/gopals-gully""","""Zarin Virji""","""9780143451907""",,Q1860,Q668,+2021-02-16T00:00:00Z/11,142,Q6647667,"""1"""
,Greatest Essays,ഗ്രീറ്റ്സ്റ് എസ്സേയ്‌സ്,English-language essays published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ഉപന്യാസങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/greatest-essays""",,,"""9389967910""",Q1860,Q668,+2021-11-06T00:00:00Z/11,541,Q35760,"""1"""
,Guinness World Records 2022,ഗിന്നസ് വേൾഡ് റെക്കോർഡ്‌സ് 2022,English-language reference published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/guinness-world-records""","""Guinness World Records""","""9781913484118""",,Q1860,Q668,+2021-10-30T00:00:00Z/11,256,Q13136,"""1"""
,Guyton & Hall Textbook of Medical Physiology,ഗുയ്ടോൻ &amp; ഹാൾ റെസ്റ്ബുക് ഓഫ് മെഡിക്കൽ പഹൈസിയോളജി,English-language academics published by Elsevier,എൽസെവിയർ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് അക്കാദമിക് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/guyton""","""Vaz""","""9788131244661""",,Q1860,Q668,+2016-04-06T00:00:00Z/11,1175,Q193495,"""2"""
,Hamnet,ഹാംലെറ്,English-language literary fiction published by Hachette India,ഹാഷെറ്റ് ഇന്ത്യ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സാഹിത്യ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/hamnet""","""Maggie O'farrell""","""9781472223821""",,Q1860,Q668,+2021-07-02T00:00:00Z/11,372,Q6647667,"""1"""
,Hangwoman Everyone Loves a Good Hanging,ഹാങ്‌വമാണ് എവെരിക്കോണേ ലോവേസ് എ ഗുഡ് ഹാങ്ങിങ്,English-language novel published by Penguin Books,പെൻഗ്വിൻ ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/hangwoman-everyone-loves-a-good-hanging""","""K. R. Meera""","""9780143424697""",,Q1860,Q668,+2014-08-03T00:00:00Z/11,435,,"""1"""
,Harry Potter and the Cursed Child- Pb,ഹാരി പോട്ടർ ആൻഡ് ദി കസേഡ് ചൈൽഡ്- പ്പ്,English-language novel published by Hachette India,ഹാഷെറ്റ് ഇന്ത്യ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/harry-potter-and-the-cursed-child--pb""","""J K Rowling""","""9780751565362""",,Q1860,Q668,+2016-07-31T00:00:00Z/11,338,Q8261,"""1"""
,Hema Malini Beyond the Dream Girl,ഹേമ മാലിനി ബീയോണ്ട് ദി ഡ്രീം ഗേൾ,English-language art published by Harper Collins India,ഹാർപ്പർ കോളിൻസ് ഇന്ത്യ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് കലാ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/hema-malini-beyond-the-dream-girl""","""Ram Kamal Mukherjee""","""9789352773220""",,Q1860,Q668,+2018-07-11T00:00:00Z/11,256,Q36649,"""1"""
,Higher Education in India: Politics and Policies,ഹയർ എഡ്യൂക്കേഷൻ ഇൻ ഇന്ത്യ: പൊളിറ്റിക്സ് ആൻഡ് പോളിസിസ്,English-language study published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് പഠനം,Q7725634,"""https://dcbookstore.com/books/higher-education-in-india-politics-and-policies""","""Dr.v.sivadasan""","""9789353901868""",,Q1860,Q668,+2019-12-10T00:00:00Z/11,208,Q193495,"""1"""
,Hippie,ഹിപ്പിക്,English-language novel published by Penguin,പെൻഗ്വിൻ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/hippie-english""","""Paulo Coelho""","""9780143448723""",,Q1860,Q668,+2019-02-01T00:00:00Z/11,279,,"""New"""
,Honour,ഹൊനൗർ,English-language novel published by Viking,വൈക്കിംഗ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോവൽ,Q7725634,"""https://dcbookstore.com/books/honour-""","""Elif Shafak""","""9780670784837""",,Q1860,Q668,+2013-02-28T00:00:00Z/11,342,Q8261,"""1"""
,How Deepak Parekh Grew Hdfc Group Exponentially,ഹൌ ദീപക് പരേഖ് ഗ്രീവ ഹദഫ്ക് ഗ്രൂപ്പ് സ്‌പോൺണ്ടില്ല്യ,English-language business & management published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ബിസിനസും മാനേജ്മെന്റും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/how-deepak-parekh-grew-hdfc-group-exponentially""",,"""9789390547104""",,Q1860,Q668,+2021-02-23T00:00:00Z/11,147,Q4830453,"""1"""
,How Harsh Mariawala Groomed Marico,ഹൌ ഹർഷ് മരിയാവാല ഗ്രൂമെദ് മാറിക്കോ,English-language business & management published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ബിസിനസും മാനേജ്മെന്റും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/how-harsh-mariawala-groomed-marico""",,"""9789390260232""",,Q1860,Q668,+2021-02-23T00:00:00Z/11,146,Q4830453,"""1"""
,How to Develop Self Confidence & Influence People,ഹൌ ടോ ഡെവലപ്പ് സെല്ഫ് കോൺഫിഡൻസ് &amp; ഇൻഫ്ലുൻസ പീപ്പിൾ,English-language self help published by Adarsh Books,ആദർശ് ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/how-to-develop-self-confidence""","""Dale Carnegie""","""9788183631303""",,Q1860,Q668,+2019-07-01T00:00:00Z/11,218,Q3739522,"""new"""
,How to Tackle Civil Service,ഹൌ ട്ടോ ടാക്കളെ സിവിൽ സർവീസ്,English-language self help published by I Rank : an Imprint of DC Books,ഐ റാങ്ക് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/how-to-tackle-civil-service""","""Ashok B""",,,Q1860,Q668,+2013-12-02T00:00:00Z/11,134,Q3739522,"""2"""
,Ibps Rrb Po and Clerk: Mock Test Papers,ഇപ്പ്സ് റാബി പോ ആൻഡ് ക്ലാർക്ക്: മോക്ക് ടെസ്റ്റ് പപെര്സ്,English-language non fiction published by Rupa Publications,രൂപ പബ്ലിക്കേഷൻസ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോൺ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/ibps-rrb-po-and-clerk-mock-test-papers-183978484986""","""Adda247""","""9789353337940""",,Q1860,Q668,+2021-07-02T00:00:00Z/11,309,,"""1"""
,Ikigai - English,ഇകിഗൈ - ഇംഗ്ലീഷ്,English-language self help published by Penguin Books India,പെൻഗ്വിൻ ബുക്സ് ഇന്ത്യ പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/ikigai""","""Hector Gracia""","""9781786330895""",,Q1860,Q668,+2016-07-27T00:00:00Z/11,194,Q3739522,"""new"""
,India From Midnight to the Millennium and Beyond,ഇന്ത്യ ഫ്രം മിഡ്‌നെറ് ടോ ദി മില്ലേനിയം ആൻഡ് ബീയോണ്ട്,English-language non fiction published by Penguin Books,പെൻഗ്വിൻ ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് നോൺ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/india-from-midnight-to-the-millennium-and-beyond""","""Shashi Tharoor""","""9780143103240""",,Q1860,Q668,+1997-08-21T00:00:00Z/11,389,,"""1"""
,India Shastra: Reflections on the Nation in Our Time,ഇന്ത്യ ശാസ്ത്ര: റിഫ്ലക്ഷൻസ് ഓൺ ദി നേഷൻ ഇൻ ഔർ ടൈം,English-language history published by Aleph Book Company,അലെഫ് ബുക്ക് കമ്പനി പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/india-shastra-reflections-on-the-nation-in-our-time""","""Shashi Tharoor""","""9789387561090""",,Q1860,Q668,+2015-07-15T00:00:00Z/11,473,,"""1"""
,Indian Foreign Service : Charms and Challenges,ഇന്ത്യൻ ഫോറേറ്റിങ്ങ് സർവീസ് : ചാർസ് ആൻഡ് ചെല്ലെങ്സ്,English-language memoirs published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച ഇംഗ്ലീഷ് ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/indian-foreign-service-charms-and-challenges""","""T. P. Sreenivasan""","""9789354826092""",,Q1860,Q668,+2022-09-06T00:00:00Z/11,144,Q112983,"""2"""
